2414159|Tenente Laurentino Cruz|28,0,27,7,48,14,5,40,16,38,13,8,57,57,60,54,48,39,43,77
2413201|Senador Georgino Avelino|8,6,4,8,10,8,5,18,6,5,10,6,81,33,53,32,35,57,102,178
2405504|Jardim de Angicos|8,9,8,5,3,0,0,0,0,0,1,2,27,98,172,108,126,3,66,21
2407401|Martins|16,19,30,30,12,1,61,23,30,19,28,29,19,62,27,46,38,68,44,53
2400505|Alexandria|4,7,8,3,8,6,7,7,7,5,8,7,18,56,47,20,36,304,34,36
2414605|Upanema|12,3,13,11,27,12,27,12,15,0,15,4,22,30,67,27,37,29,90,145
2412104|São João do Sabugi|24,34,11,19,27,8,26,16,41,15,20,14,15,57,71,41,35,19,53,41
2415008|Vila Flor|3,10,3,10,16,10,13,7,7,3,12,7,21,73,78,27,73,88,73,48
2411007|Rodolfo Fernandes|12,8,9,14,26,43,11,10,29,14,20,33,55,22,34,25,61,94,34,27
2404101|Galinhos|8,4,4,3,13,3,11,11,1,5,6,0,25,54,47,13,139,62,103,66
2408409|Olho d'Água do Borges|19,17,5,9,8,6,13,18,11,9,18,32,43,43,73,52,54,35,43,32
2406403|Lagoa de Velhos|2,3,6,15,8,3,8,5,9,5,6,8,83,45,74,35,21,50,59,51
2414100|Tenente Ananias|8,7,9,7,12,4,15,8,9,23,12,6,23,25,41,23,43,139,41,31
2407906|Monte das Gameleiras|9,9,0,9,3,5,4,11,16,11,15,19,42,77,44,41,35,32,42,60
2408508|Ouro Branco|7,10,10,2,20,10,12,13,15,10,15,15,37,31,66,37,31,30,38,66
2410702|Riacho da Cruz|12,5,11,6,9,3,8,18,16,17,23,6,35,35,38,46,38,18,51,49
2404408|Grossos|11,10,11,10,16,26,14,11,25,12,24,4,20,18,22,32,23,47,52,54
2409506|Pedra Grande|7,14,6,7,1,2,7,4,2,2,4,7,13,28,221,17,22,26,21,30
2410603|Rafael Godeiro|11,11,8,7,10,11,20,18,18,15,7,11,32,22,73,26,20,61,25,33
2411809|São Fernando|12,11,8,19,14,17,16,23,11,33,21,24,34,25,31,28,44,15,28,16
2410256|Porto do Mangue|3,6,25,16,21,9,18,14,31,21,24,6,11,16,28,17,21,12,53,29
2411601|São Bento do Norte|0,0,0,0,3,0,0,10,8,1,7,9,4,79,32,24,60,35,73,35
2404002|Frutuoso Gomes|24,22,15,15,12,4,14,8,14,24,6,13,6,18,22,9,20,66,19,33
2400604|Almino Afonso|11,7,4,6,22,10,28,15,13,23,13,11,8,12,33,18,22,28,26,40
2408706|Paraú|16,12,18,5,13,13,9,31,15,17,14,2,12,28,17,20,12,15,31,40
2400901|Antônio Martins|5,3,13,4,26,16,20,11,16,8,11,27,18,22,16,27,10,38,27,4
2402907|Coronel João Pessoa|3,10,3,4,4,1,15,12,3,2,17,8,21,17,27,21,19,98,18,14
2403756|Fernando Pedroza|6,7,5,6,10,0,9,11,5,5,3,8,25,26,31,13,17,10,70,35
2404309|Governador Dix-Sept Rosado|6,8,4,10,10,5,6,16,17,12,18,8,7,21,10,20,19,17,32,33
2405108|Jandaíra|11,4,7,7,4,3,10,5,2,1,2,3,29,34,41,14,24,23,27,25
2412401|São José do Seridó|0,0,0,0,0,0,8,0,39,8,20,4,10,25,18,19,17,14,21,66
2410009|Pilões|4,7,3,3,6,3,4,10,20,6,10,12,15,16,28,33,22,24,20,20
2413607|Severiano Melo|3,5,7,6,8,1,17,21,12,14,12,9,17,11,15,16,11,31,19,15
2414308|Timbaúba dos Batistas|8,9,4,6,8,10,7,8,2,24,12,1,7,42,25,12,15,17,8,13
2414753|Venha-Ver|9,4,2,6,3,8,12,14,0,10,3,3,0,20,14,2,11,92,11,5
2407252|Major Sales|2,1,4,0,2,0,2,2,7,6,3,4,24,22,9,15,19,49,21,14
2406007|José da Penha|0,0,0,3,1,2,3,3,3,0,2,5,4,19,12,15,21,86,10,16
2411429|Santana do Seridó|4,2,2,3,8,11,11,6,8,7,0,10,31,12,18,11,27,5,19,10
2404804|Ipueira|4,5,2,11,1,3,6,0,2,7,1,12,2,2,83,9,29,13,4,0
2407609|Messias Targino|1,7,4,3,7,6,8,17,11,16,11,11,19,18,4,20,6,3,9,12
2407005|Luís Gomes|1,0,1,19,2,1,1,1,0,0,4,1,9,21,17,13,61,14,8,17
2411056|Tibau|6,2,4,0,15,7,7,3,3,3,18,31,10,6,12,2,11,10,5,34
2408607|Paraná|6,6,1,0,5,6,15,8,5,6,13,0,13,9,6,3,6,27,40,13
2404903|Itaú|12,5,2,3,4,0,18,14,6,6,2,1,4,2,14,14,7,9,37,17
2411908|São Francisco do Oeste|4,4,2,2,0,3,0,0,0,11,3,4,15,10,14,8,5,73,8,11
2403301|Encanto|0,3,3,2,12,3,4,7,3,2,1,3,18,19,18,26,10,12,12,11
2406908|Lucrécia|11,2,2,6,4,0,5,10,5,4,9,1,9,6,6,3,5,56,9,13
2407302|Marcelino Vieira|14,18,9,3,1,7,6,3,6,1,2,1,5,15,19,9,13,5,15,9
2414902|Viçosa|5,2,0,3,0,4,11,6,12,4,11,7,1,1,14,7,8,37,5,20
2413805|Taboleiro Grande|4,1,0,1,1,1,3,20,6,5,2,8,14,7,9,2,1,30,6,5
2410207|Portalegre|1,0,1,2,2,2,1,3,0,6,1,1,6,10,7,6,7,46,9,7
2401651|Bodó|1,0,0,0,0,0,0,4,0,0,0,0,13,4,7,22,28,5,7,25
2403905|Francisco Dantas|0,0,0,0,2,0,0,0,3,7,1,5,7,22,9,1,6,33,9,8
2405900|João Dias|0,1,3,0,1,1,3,0,10,0,15,3,1,3,2,7,1,38,10,4
2410801|Riacho de Santana|8,3,0,5,0,0,2,6,3,5,1,4,12,7,7,10,10,5,14,1
2400406|Água Nova|2,0,0,1,2,2,2,1,5,1,0,1,3,15,10,4,7,16,7,5
2410504|Rafael Fernandes|0,0,0,0,0,0,0,0,0,3,1,0,1,8,5,8,14,22,1,7
